slug,population,total_cases,total_deaths,incident_rate,fatality_rate
special-region-of-aceh,4448477,2568,15,57.73,0.58
north-sumatera,12982204,5987,78,46.12,1.3
west-sumatera,4733392,2202,14,46.52,0.64
riau,5422961,2955,61,54.49,2.06
jambi,3167377,1879,40,59.32,2.13
south-sumatera,7446401,2015,23,27.06,1.14
bengkulu,1686088,681,10,40.39,1.47
lampung,6804922,1494,24,21.95,1.61
bangka-belitung-islands,1253569,320,6,25.53,1.88
riau-islands,1422505,1036,5,72.83,0.48
jakarta-special-capital-region,9604329,6653,3,69.27,0.05
west-java,43842907,13971,59,31.87,0.42
central-java,32959576,4474,44,13.57,0.98
special-region-of-yogyakarta,3448072,982,3,28.48,0.31
east-java,37875094,5401,66,14.26,1.22
banten,9991392,1736,32,17.37,1.84
bali,3470460,2996,7,86.33,0.23
west-nusa-tenggara,4058506,451,3,11.11,0.67
east-nusa-tenggara,4767382,304,8,6.38,2.63
west-kalimantan,4249142,741,10,17.44,1.35
central-kalimantan,2139131,517,9,24.17,1.74
south-kalimantan,3798276,400,7,10.53,1.75
east-kalimantan,3550586,1416,13,39.88,0.92
north-kalimantan,0,0,0,0,0
north-sulawesi,2265937,364,5,16.06,1.37
central-sulawesi,2608288,2045,31,78.4,1.52
south-sulawesi,7629689,1520,11,19.92,0.72
southeast-sulawesi,2093661,214,0,10.22,0
gorontalo,917971,23,2,2.51,8.7
west-sulawesi,1084166,205,5,18.91,2.44
maluku,1439404,11,0,0.76,0
north-maluku,1032182,164,3,15.89,1.83
special-region-of-west-papua,564085,0,0,0,0
special-region-of-papua,1692389,0,0,0,0
