slug,province,population,total_cases,incident_rate,total_deaths,fatality_rate,year
special-region-of-aceh,Aceh,5281314,1533,29.03,6,0.39,2018
north-sumatera,Sumatera Utara,14415391,5623,39.01,26,0.46,2018
west-sumatera,Sumatera Barat,5382077,2203,40.93,5,0.23,2018
riau,Riau,6814909,918,13.47,8,0.87,2018
jambi,Jambi,3570272,720,20.17,1,0.14,2018
south-sumatera,Sumatera Selatan,8370320,2404,28.72,26,1.08,2018
bengkulu,Bengkulu,1963300,1419,72.28,12,0.85,2018
lampung,Lampung,8370485,2872,34.31,14,0.49,2018
bangka-belitung-islands,Bangka Belitung,1459873,760,52.06,2,0.26,2018
riau-islands,Kepulauan Riau,2136521,1204,56.35,7,0.58,2018
jakarta-special-capital-region,DKI Jakarta,10467629,2965,28.33,2,0.07,2018
west-java,Jawa Barat,48683861,8732,17.94,49,0.56,2018
central-java,Jawa Tengah,34490835,3133,9.08,29,0.93,2018
special-region-of-yogyakarta,Yogyakarta,3802872,547,14.38,3,0.55,2018
east-java,Jawa Timur,39500851,8449,21.39,84,0.99,2018
banten,Banten,12689736,1023,8.06,7,0.68,2018
bali,Bali,4292154,904,21.06,2,0.22,2018
west-nusa-tenggara,Nusa Tenggara Barat,5013687,535,10.67,1,0.19,2018
east-nusa-tenggara,Nusa Tenggara Timur,5371519,1333,24.82,12,0.9,2018
west-kalimantan,Kalimantan Barat,5001664,3097,61.92,25,0.81,2018
central-kalimantan,Kalimantan Tengah,2660209,2245,84.39,22,0.98,2018
south-kalimantan,Kalimantan Selatan,4182695,2001,47.84,15,0.75,2018
east-kalimantan,Kalimantan Timur,3648835,3204,87.81,17,0.53,2018
north-kalimantan,Kalimantan Utara,716407,172,24.01,3,1.74,2018
north-sulawesi,Sulawesi Utara,2484392,1608,64.72,21,1.31,2018
central-sulawesi,Sulawesi Tengah,3010443,1067,35.44,6,0.56,2018
south-sulawesi,Sulawesi Selatan,8771970,2114,24.1,19,0.9,2018
southeast-sulawesi,Sulawesi Tenggara,2895213,624,21.55,4,0.64,2018
gorontalo,Gorontalo,1185492,813,68.58,14,1.72,2018
west-sulawesi,Sulawesi Barat,1355554,532,39.25,1,0.19,2018
maluku,Maluku,1773776,317,17.87,10,3.15,2018
north-maluku,Maluku Utara,1232632,110,8.92,4,3.64,2018
special-region-of-west-papua,Papua Barat,937458,228,24.32,3,1.32,2018
special-region-of-papua,Papua,3322526,193,5.81,2,1.04,2018
