slug,province,population,total_cases,incident_rate,total_deaths,fatality_rate,year
bali,Bali,4292154,904,21.06,2,0.22,2018
bali,Bali,4246528,4499,105.95,13,0.29,2017
bali,Bali,4200069,20329,484.02,61,0.3,2016
bali,Bali,4152833,10704,257.75,28,0.26,2015
bali,Bali,4225384,8629,204.22,17,0.2,2014
bali,Bali,4043773,6813,168.48,5,0.07,2013
bali,Bali,4021191,2650,65.9,3,0.11,2012
bali,Bali,3470460,2996,86.33,7,0.23,2011
bangka-belitung-islands,Bangka Belitung,1459873,760,52.06,2,0.26,2018
bangka-belitung-islands,Bangka Belitung,1430865,263,18.38,0,0,2017
bangka-belitung-islands,Bangka Belitung,1401827,490,34.95,3,0.61,2016
bangka-belitung-islands,Bangka Belitung,1372813,623,45.38,6,0.96,2015
bangka-belitung-islands,Bangka Belitung,1380762,321,23.25,11,3.43,2014
bangka-belitung-islands,Bangka Belitung,1266391,741,58.51,20,2.7,2013
bangka-belitung-islands,Bangka Belitung,1265379,1075,84.95,25,2.33,2012
bangka-belitung-islands,Bangka Belitung,1253569,320,25.53,6,1.88,2011
banten,Banten,12689736,1023,8.06,7,0.68,2018
banten,Banten,12448160,1297,10.42,7,0.54,2017
banten,Banten,12202848,6139,50.31,71,1.16,2016
banten,Banten,11955243,3011,25.19,43,1.43,2015
banten,Banten,11834087,3002,25.37,37,1.23,2014
banten,Banten,10690278,3977,37.2,30,0.75,2013
banten,Banten,10285371,3362,32.69,29,0.86,2012
banten,Banten,9991392,1736,17.37,32,1.84,2011
bengkulu,Bengkulu,1963300,1419,72.28,12,0.85,2018
bengkulu,Bengkulu,1934269,618,31.95,5,0.81,2017
bengkulu,Bengkulu,1904793,1746,91.66,22,1.26,2016
bengkulu,Bengkulu,1874944,1003,53.49,20,1.99,2015
bengkulu,Bengkulu,1828291,464,25.38,13,2.8,2014
bengkulu,Bengkulu,1821649,414,22.73,0,0,2013
bengkulu,Bengkulu,1804085,967,53.6,7,0.72,2012
bengkulu,Bengkulu,1686088,681,40.39,10,1.47,2011
central-java,Jawa Tengah,34490835,3133,9.08,29,0.93,2018
central-java,Jawa Tengah,34257865,7400,21.6,92,1.24,2017
central-java,Jawa Tengah,34019095,14376,42.26,213,1.48,2016
central-java,Jawa Tengah,33774141,16398,48.55,255,1.56,2015
central-java,Jawa Tengah,32779832,11075,33.79,159,1.44,2014
central-java,Jawa Tengah,36745961,15144,41.21,182,1.2,2013
central-java,Jawa Tengah,36745961,7088,19.29,108,1.52,2012
central-java,Jawa Tengah,32959576,4474,13.57,44,0.98,2011
central-kalimantan,Kalimantan Tengah,2660209,2245,84.39,22,0.98,2018
central-kalimantan,Kalimantan Tengah,2605274,879,33.74,12,1.37,2017
central-kalimantan,Kalimantan Tengah,2550196,1751,68.66,24,1.37,2016
central-kalimantan,Kalimantan Tengah,2495035,1502,60.2,10,0.67,2015
central-kalimantan,Kalimantan Tengah,2368654,880,37.15,12,1.36,2014
central-kalimantan,Kalimantan Tengah,2393471,1035,43.24,7,0.68,2013
central-kalimantan,Kalimantan Tengah,2371153,1590,67.06,15,0.94,2012
central-kalimantan,Kalimantan Tengah,2139131,517,24.17,9,1.74,2011
central-sulawesi,Sulawesi Tengah,3010443,1067,35.44,6,0.56,2018
central-sulawesi,Sulawesi Tengah,2966325,834,28.12,6,0.72,2017
central-sulawesi,Sulawesi Tengah,2921715,2122,72.63,20,0.94,2016
central-sulawesi,Sulawesi Tengah,2876689,1571,54.61,13,0.83,2015
central-sulawesi,Sulawesi Tengah,2839290,1302,45.86,9,0.69,2014
central-sulawesi,Sulawesi Tengah,2660974,1778,66.82,11,0.62,2013
central-sulawesi,Sulawesi Tengah,2657646,2259,85,22,0.97,2012
central-sulawesi,Sulawesi Tengah,2608288,2045,78.4,31,1.52,2011
east-java,Jawa Timur,39500851,8449,21.39,84,0.99,2018
east-java,Jawa Timur,39292972,7254,18.46,104,1.43,2017
east-java,Jawa Timur,39075152,24005,61.43,340,1.42,2016
east-java,Jawa Timur,38847561,20138,51.84,283,1.41,2015
east-java,Jawa Timur,38529481,9273,24.07,107,1.15,2014
east-java,Jawa Timur,38054487,14895,39.14,156,1.05,2013
east-java,Jawa Timur,38054487,8177,21.49,116,1.42,2012
east-java,Jawa Timur,37875094,5401,14.26,66,1.22,2011
east-kalimantan,Kalimantan Timur,3648835,3204,87.81,17,0.53,2018
east-kalimantan,Kalimantan Timur,3575449,918,25.68,3,0.33,2017
east-kalimantan,Kalimantan Timur,3501232,10712,305.95,103,0.96,2016
east-kalimantan,Kalimantan Timur,3426638,6458,188.46,65,1.01,2015
east-kalimantan,Kalimantan Timur,3508012,4752,135.46,55,1.16,2014
east-kalimantan,Kalimantan Timur,3874580,3593,92.73,29,0.81,2013
east-kalimantan,Kalimantan Timur,3874580,3267,84.32,29,0.89,2012
east-kalimantan,Kalimantan Timur,3550586,1416,39.88,13,0.92,2011
east-nusa-tenggara,Nusa Tenggara Timur,5371519,1333,24.82,12,0.9,2018
east-nusa-tenggara,Nusa Tenggara Timur,5287302,210,3.97,1,0.48,2017
east-nusa-tenggara,Nusa Tenggara Timur,5203514,1015,19.51,2,0.2,2016
east-nusa-tenggara,Nusa Tenggara Timur,5120061,506,9.88,1,0.2,2015
east-nusa-tenggara,Nusa Tenggara Timur,5070746,167,3.29,0,0,2014
east-nusa-tenggara,Nusa Tenggara Timur,4804719,449,9.34,10,2.23,2013
east-nusa-tenggara,Nusa Tenggara Timur,4804719,1135,23.62,8,0.7,2012
east-nusa-tenggara,Nusa Tenggara Timur,4767382,304,6.38,8,2.63,2011
gorontalo,Gorontalo,1185492,813,68.58,14,1.72,2018
gorontalo,Gorontalo,1168190,316,27.05,8,2.53,2017
gorontalo,Gorontalo,1150765,746,64.83,20,2.68,2016
gorontalo,Gorontalo,1133237,231,20.38,14,6.06,2015
gorontalo,Gorontalo,1134498,223,19.66,14,6.28,2014
gorontalo,Gorontalo,1012191,238,23.51,3,1.26,2013
gorontalo,Gorontalo,1012191,212,20.94,5,2.36,2012
gorontalo,Gorontalo,917971,23,2.51,2,8.7,2011
jakarta-special-capital-region,DKI Jakarta,10467629,2965,28.33,2,0.07,2018
jakarta-special-capital-region,DKI Jakarta,10374235,3350,32.29,1,0.03,2017
jakarta-special-capital-region,DKI Jakarta,10277628,20423,198.71,14,0.07,2016
jakarta-special-capital-region,DKI Jakarta,10177924,4954,48.67,11,0.22,2015
jakarta-special-capital-region,DKI Jakarta,10135030,8447,83.34,9,0.11,2014
jakarta-special-capital-region,DKI Jakarta,9761992,10156,104.04,20,0.2,2013
jakarta-special-capital-region,DKI Jakarta,9738293,6669,68.48,4,0.06,2012
jakarta-special-capital-region,DKI Jakarta,9604329,6653,69.27,3,0.05,2011
jambi,Jambi,3570272,720,20.17,1,0.14,2018
jambi,Jambi,3515017,378,10.75,2,0.53,2017
jambi,Jambi,3458926,1553,44.9,14,0.9,2016
jambi,Jambi,3402052,1354,39.8,8,0.59,2015
jambi,Jambi,3412459,1308,38.33,16,1.22,2014
jambi,Jambi,3249012,638,19.64,18,2.82,2013
jambi,Jambi,3249012,994,30.59,22,2.21,2012
jambi,Jambi,3167377,1879,59.32,40,2.13,2011
lampung,Lampung,8370485,2872,34.31,14,0.49,2018
lampung,Lampung,8289577,2908,35.08,9,0.31,2017
lampung,Lampung,8205139,4516,55.04,15,0.33,2016
lampung,Lampung,8117268,3145,38.74,32,1.02,2015
lampung,Lampung,7972246,1317,16.52,16,1.21,2014
lampung,Lampung,7049523,4573,64.87,45,0.98,2013
lampung,Lampung,7608405,5207,68.44,38,0.73,2012
lampung,Lampung,6804922,1494,21.95,24,1.61,2011
maluku,Maluku,1773776,317,17.87,10,3.15,2018
maluku,Maluku,1744654,50,2.87,0,0,2017
maluku,Maluku,1715548,363,21.16,21,5.79,2016
maluku,Maluku,1686469,78,4.63,6,7.69,2015
maluku,Maluku,1708190,12,0.7,2,16.67,2014
maluku,Maluku,1501359,33,2.2,0,0,2013
maluku,Maluku,1533506,107,6.98,6,5.61,2012
maluku,Maluku,1439404,11,0.76,0,0,2011
north-kalimantan,Kalimantan Utara,716407,172,24.01,3,1.74,2018
north-kalimantan,Kalimantan Utara,691058,195,28.22,2,1.03,2017
north-kalimantan,Kalimantan Utara,666333,1055,158.33,11,1.04,2016
north-kalimantan,Kalimantan Utara,641936,719,112,2,0.28,2015
north-kalimantan,Kalimantan Utara,607729,781,128.51,4,0.51,2014
north-kalimantan,Kalimantan Utara,0,0,0,0,0,2013
north-kalimantan,Kalimantan Utara,0,0,0,0,0,2012
north-kalimantan,Kalimantan Utara,0,0,0,0,0,2011
north-maluku,Maluku Utara,1232632,110,8.92,4,3.64,2018
north-maluku,Maluku Utara,1209342,37,3.06,0,0,2017
north-maluku,Maluku Utara,1185912,266,22.43,7,2.63,2016
north-maluku,Maluku Utara,1162345,119,10.24,2,1.68,2015
